"StudentID","Name","gender","grade","SchoolType","College/Faculty"
S001,林雨婷,女,大三,公立,商管学院
S002,陈俊霖,男,大一,私立,理工学院
S003,张伟杰,男,大四,私立,理工学院
S004,王诗涵,女,大一,私立,设计学院
S005,李沐晴,女,大三,私立,设计学院
S006,刘博文,男,大一,公立,商学院
S007,赵俊豪,男,大二,私立,文法学院
S008,周思琪,女,大一,公立,医学院
S009,吴宇轩,男,大四,私立,设计学院
S010,郑佳怡,女,大二,公立,商学院
S011,孙语桐,女,大一,私立,商管学院
S012,刘晓琳,女,大二,公立,理工学院
S013,朱志鹏,男,大二,私立,文法学院
S014,马晓雯,女,大一,公立,商管学院
S015,胡俊杰,男,大四,公立,医学院
S016,何雨欣,女,大三,私立,理工学院
S017,罗伟杰,男,大三,私立,文法学院
S018,梁诗琪,女,大二,公立,商学院
S019,谢宇轩,男,大一,私立,医学院
S020,宋雨桐,女,大三,公立,设计学院
S021,韩博文,男,大三,公立,文法学院
S022,曹雅琪,女,大二,私立,商管学院
S023,邓浩宇,男,大四,公立,理工学院
S024,彭诗涵,女,大二,公立,设计学院
S025,曾俊豪,男,大三,私立,商管学院
S026,肖思彤,女,大二,公立,理工学院
S027,田泽宇,男,大一,公立,文法学院
S028,董思瑶,女,大一,公立,设计学院
S029,袁明杰,男,大四,公立,医学院
S030,潘佳怡,女,大三,私立,商管学院
S031,蔡子轩,男,大三,公立,理工学院
S032,蒋欣怡,女,大二,私立,文法学院
S033,余嘉豪,男,大三,公立,设计学院
S034,叶语桐,女,大一,公立,商管学院
S035,程浩然,男,大二,公立,医学院
S036,苏语汐,女,大一,公立,设计学院
S037,魏泽宇,男,大三,公立,理工学院
S038,薛诗涵,女,大三,公立,商管学院
S039,薛俊杰,男,大二,公立,文法学院
S040,叶思琪,女,大二,公立,医学院
S041,林泽宇,男,大一,公立,理工学院
S042,钟语桐,女,大四,公立,设计学院
S043,卢文博,男,大二,公立,商管学院
S044,徐诗瑶,女,大二,公立,文法学院
S045,陈泽豪,男,大一,公立,医学院
S046,邓雨欣,女,大三,公立,理工学院
S047,林俊辉,男,大三,公立,商管学院
S048,周思彤,女,大二,公立,文法学院
S049,吴浩宇,男,大一,公立,医学院
S050,郑佳怡,女,大三,公立,设计学院
S051,赵文博,男,大三,公立,理工学院
S052,孙语汐,女,大一,公立,商管学院
S053,刘泽豪,男,大二,公立,文法学院
S054,朱诗涵,女,大三,公立,医学院
S055,马俊豪,男,大二,公立,理工学院
S056,胡思琪,女,大二,公立,设计学院
S057,何宇轩,男,大一,公立,商管学院
S058,罗语桐,女,大四,公立,文法学院
S059,梁博文,男,大二,公立,医学院
S060,谢思瑶,女,大一,公立,理工学院
S061,宋泽宇,男,大三,公立,商管学院
S062,韩雨欣,女,大二,公立,文法学院
S063,曹俊豪,男,大三,公立,医学院
S064,邓思彤,女,大二,公立,设计学院
S065,彭文博,男,大三,公立,理工学院
S066,曾佳怡,女,大二,公立,商管学院
S067,肖泽宇,男,大一,公立,文法学院
S068,田语汐,女,大二,公立,医学院
S069,董俊豪,男,大三,公立,理工学院
S070,袁诗涵,女,大一,公立,设计学院
S071,潘宇轩,男,大三,公立,商管学院
S072,蔡思琪,女,大二,公立,文法学院
S073,蒋文博,男,大三,公立,医学院
S074,余语桐,女,大二,公立,理工学院
S075,叶泽豪,男,大三,公立,设计学院
S076,程思瑶,女,大一,公立,商管学院
S077,苏俊豪,男,大二,公立,文法学院
S078,魏雨欣,女,大三,公立,医学院
S079,薛文博,男,大三,公立,理工学院
S080,林思彤,女,大二,公立,设计学院
S081,钟泽宇,男,大三,公立,商管学院
S082,卢佳怡,女,大二,公立,文法学院
S083,徐文博,男,大一,公立,医学院
S084,陈语汐,女,大二,公立,理工学院
S085,邓俊豪,男,大三,公立,设计学院
S086,林诗涵,女,大二,公立,商管学院
S087,周宇轩,男,大一,公立,文法学院
S088,吴思琪,女,大四,公立,医学院
S089,郑文博,男,大二,公立,理工学院
S090,赵语桐,女,大三,公立,设计学院
S091,孙俊豪,男,大三,公立,商管学院
S092,刘诗瑶,女,大二,公立,文法学院
S093,朱宇轩,男,大一,公立,医学院
S094,马雨欣,女,大二,公立,理工学院
S095,胡文博,男,大三,公立,设计学院
S096,何思彤,女,大二,公立,商管学院
S097,罗俊豪,男,大三,公立,文法学院
S098,梁佳怡,女,大二,公立,医学院
S099,谢文博,男,大一,公立,理工学院
S100,宋语汐,女,大三,公立,设计学院
S101,韩泽宇,男,大三,公立,商管学院
S102,曹诗涵,女,大二,公立,文法学院
S103,邓宇轩,男,大三,公立,医学院
S104,彭思琪,女,大二,公立,理工学院
S105,曾文博,男,大三,公立,设计学院
S106,肖语桐,女,大二,公立,商管学院
S107,田俊豪,男,大一,公立,文法学院
S108,董思瑶,女,大二,公立,医学院
S109,袁文博,男,大三,公立,理工学院
S110,潘雨欣,女,大三,公立,设计学院
S111,蔡俊豪,男,大三,公立,商管学院
S112,蒋思彤,女,大二,公立,文法学院
S113,余文博,男,大三,公立,医学院
S114,叶佳怡,女,大二,公立,理工学院
S115,程泽宇,男,大一,公立,设计学院
S116,苏语汐,女,大二,公立,商管学院
S117,魏俊豪,男,大三,公立,文法学院
S118,薛诗涵,女,大三,公立,医学院
S119,薛宇轩,男,大二,公立,理工学院
S120,叶思琪,女,大二,公立,设计学院
S121,林泽宇,男,大一,公立,商管学院
S122,钟语桐,女,大四,公立,文法学院
S123,卢文博,男,大二,公立,医学院
S124,徐思瑶,女,大二,公立,理工学院
S125,陈俊豪,男,大一,公立,设计学院
S126,邓雨欣,女,大三,公立,商管学院
S127,林俊辉,男,大三,公立,文法学院
S128,周思彤,女,大二,公立,医学院
S129,吴浩宇,男,大一,公立,理工学院
S130,郑佳怡,女,大三,公立,设计学院
S131,赵文博,男,大三,公立,商管学院
S132,孙语汐,女,大一,公立,文法学院
S133,刘泽豪,男,大二,公立,医学院
S134,朱诗涵,女,大三,公立,理工学院
S135,马俊豪,男,大二,公立,设计学院
S136,胡思琪,女,大二,公立,商管学院
S137,何宇轩,男,大一,公立,文法学院
S138,罗语桐,女,大四,公立,医学院
S139,梁博文,男,大二,公立,理工学院
S140,谢思瑶,女,大一,公立,设计学院
S141,宋泽宇,男,大三,公立,商管学院
S142,韩雨欣,女,大二,公立,文法学院
S143,曹俊豪,男,大三,公立,医学院
S144,邓思彤,女,大二,公立,理工学院
S145,彭文博,男,大三,公立,设计学院
S146,曾佳怡,女,大二,公立,商管学院
S147,肖泽宇,男,大一,公立,文法学院
S148,田语汐,女,大二,公立,医学院
S149,董俊豪,男,大三,公立,理工学院
S150,袁诗涵,女,大一,公立,设计学院
S151,潘宇轩,男,大三,公立,商管学院
S152,蔡思琪,女,大二,公立,文法学院
S153,蒋文博,男,大三,公立,医学院
S154,余语桐,女,大二,公立,理工学院
S155,叶泽豪,男,大三,公立,设计学院
S156,程思瑶,女,大一,公立,商管学院
S157,苏俊豪,男,大二,公立,文法学院
S158,魏雨欣,女,大三,公立,医学院
S159,薛文博,男,大三,公立,理工学院
S160,林思彤,女,大二,公立,设计学院
S161,钟泽宇,男,大三,公立,商管学院
S162,卢佳怡,女,大二,公立,文法学院
S163,徐文博,男,大一,公立,医学院
S164,陈语汐,女,大二,公立,理工学院
S165,邓俊豪,男,大三,公立,设计学院
S166,林诗涵,女,大二,公立,商管学院
S167,周宇轩,男,大一,公立,文法学院
S168,吴思琪,女,大四,公立,医学院
S169,郑文博,男,大二,公立,理工学院
S170,赵语桐,女,大三,公立,设计学院
S171,孙俊豪,男,大三,公立,商管学院
